iter 000 | mean_ep_return -15135.5670 | steps 8192
iter 001 | mean_ep_return -15540.8263 | steps 16384
iter 002 | mean_ep_return -12437.1456 | steps 24576
iter 003 | mean_ep_return -15338.2786 | steps 32768
iter 004 | mean_ep_return -12717.1079 | steps 40960
iter 005 | mean_ep_return -9943.3257 | steps 49152
iter 006 | mean_ep_return -11767.8166 | steps 57344
iter 007 | mean_ep_return -10349.7611 | steps 65536
iter 008 | mean_ep_return -10554.7333 | steps 73728
iter 009 | mean_ep_return -9232.8794 | steps 81920
iter 010 | mean_ep_return -10040.5175 | steps 90112
iter 011 | mean_ep_return -9352.6857 | steps 98304
iter 012 | mean_ep_return -7854.7549 | steps 106496
iter 013 | mean_ep_return -7545.4145 | steps 114688
iter 014 | mean_ep_return -7962.8488 | steps 122880
iter 015 | mean_ep_return -7083.4753 | steps 131072
iter 016 | mean_ep_return -6591.1450 | steps 139264
iter 017 | mean_ep_return -6296.1672 | steps 147456
iter 018 | mean_ep_return -6091.0052 | steps 155648
iter 019 | mean_ep_return -4729.5330 | steps 163840
iter 020 | mean_ep_return -5236.5484 | steps 172032
iter 021 | mean_ep_return -4603.0391 | steps 180224
iter 022 | mean_ep_return -3841.6382 | steps 188416
iter 023 | mean_ep_return -3480.6349 | steps 196608
iter 024 | mean_ep_return -3432.8436 | steps 204800
iter 025 | mean_ep_return -3129.5144 | steps 212992
iter 026 | mean_ep_return -2934.8188 | steps 221184
iter 027 | mean_ep_return -2697.6000 | steps 229376
iter 028 | mean_ep_return -2436.6222 | steps 237568
iter 029 | mean_ep_return -2434.4248 | steps 245760
iter 030 | mean_ep_return -2187.5936 | steps 253952
iter 031 | mean_ep_return -2022.4081 | steps 262144
iter 032 | mean_ep_return -2009.7255 | steps 270336
iter 033 | mean_ep_return -1864.4101 | steps 278528
iter 034 | mean_ep_return -1777.3881 | steps 286720
iter 035 | mean_ep_return -1745.1213 | steps 294912
iter 036 | mean_ep_return -1589.4534 | steps 303104
iter 037 | mean_ep_return -1558.9113 | steps 311296
iter 038 | mean_ep_return -1527.3111 | steps 319488
iter 039 | mean_ep_return -1558.0733 | steps 327680
iter 040 | mean_ep_return -1501.3758 | steps 335872
iter 041 | mean_ep_return -1442.6875 | steps 344064
iter 042 | mean_ep_return -1415.1415 | steps 352256
iter 043 | mean_ep_return -1403.4234 | steps 360448
iter 044 | mean_ep_return -1363.0506 | steps 368640
iter 045 | mean_ep_return -1365.1028 | steps 376832
iter 046 | mean_ep_return -1358.5478 | steps 385024
iter 047 | mean_ep_return -1343.2921 | steps 393216
iter 048 | mean_ep_return -1279.6363 | steps 401408
iter 049 | mean_ep_return -1296.8962 | steps 409600
iter 050 | mean_ep_return -1260.2831 | steps 417792
iter 051 | mean_ep_return -1271.2154 | steps 425984
iter 052 | mean_ep_return -1268.9111 | steps 434176
iter 053 | mean_ep_return -1229.6514 | steps 442368
iter 054 | mean_ep_return -1208.5162 | steps 450560
iter 055 | mean_ep_return -1186.7280 | steps 458752
iter 056 | mean_ep_return -1208.3362 | steps 466944
iter 057 | mean_ep_return -1200.9141 | steps 475136
iter 058 | mean_ep_return -1175.5104 | steps 483328
iter 059 | mean_ep_return -1184.6802 | steps 491520
iter 060 | mean_ep_return -1151.5389 | steps 499712
iter 061 | mean_ep_return -1144.0074 | steps 507904
iter 062 | mean_ep_return -1119.7907 | steps 516096
iter 063 | mean_ep_return -1104.4888 | steps 524288
iter 064 | mean_ep_return -1092.9404 | steps 532480
iter 065 | mean_ep_return -1070.2686 | steps 540672
iter 066 | mean_ep_return -1086.6477 | steps 548864
iter 067 | mean_ep_return -1080.3237 | steps 557056
iter 068 | mean_ep_return -1104.7093 | steps 565248
iter 069 | mean_ep_return -1078.5467 | steps 573440
iter 070 | mean_ep_return -1079.6076 | steps 581632
iter 071 | mean_ep_return -1068.8490 | steps 589824
iter 072 | mean_ep_return -1056.3586 | steps 598016
iter 073 | mean_ep_return -1066.4183 | steps 606208
iter 074 | mean_ep_return -1052.1534 | steps 614400
iter 075 | mean_ep_return -1023.3405 | steps 622592
iter 076 | mean_ep_return -1031.0194 | steps 630784
iter 077 | mean_ep_return -1020.2509 | steps 638976
iter 078 | mean_ep_return -1040.1247 | steps 647168
iter 079 | mean_ep_return -1014.2156 | steps 655360
iter 080 | mean_ep_return -1020.5717 | steps 663552
iter 081 | mean_ep_return -990.8622 | steps 671744
iter 082 | mean_ep_return -1001.5134 | steps 679936
iter 083 | mean_ep_return -997.0016 | steps 688128
iter 084 | mean_ep_return -1008.5625 | steps 696320
iter 085 | mean_ep_return -1006.3390 | steps 704512
iter 086 | mean_ep_return -994.6607 | steps 712704
iter 087 | mean_ep_return -983.6717 | steps 720896
iter 088 | mean_ep_return -974.4185 | steps 729088
iter 089 | mean_ep_return -964.2934 | steps 737280
iter 090 | mean_ep_return -973.7787 | steps 745472
iter 091 | mean_ep_return -971.2088 | steps 753664
iter 092 | mean_ep_return -946.2371 | steps 761856
iter 093 | mean_ep_return -949.5845 | steps 770048
iter 094 | mean_ep_return -936.6696 | steps 778240
iter 095 | mean_ep_return -936.7618 | steps 786432
iter 096 | mean_ep_return -938.3014 | steps 794624
iter 097 | mean_ep_return -933.3821 | steps 802816
iter 098 | mean_ep_return -935.3307 | steps 811008
iter 099 | mean_ep_return -922.3392 | steps 819200
TRAINING_BASELINE_DONE
