iter 000 | mean_ep_return -15740.2235 | steps 8192
iter 001 | mean_ep_return -13238.5794 | steps 16384
iter 002 | mean_ep_return -15108.7516 | steps 24576
iter 003 | mean_ep_return -11899.6041 | steps 32768
iter 004 | mean_ep_return -11058.4911 | steps 40960
iter 005 | mean_ep_return -12633.9080 | steps 49152
iter 006 | mean_ep_return -10733.3049 | steps 57344
iter 007 | mean_ep_return -11747.2565 | steps 65536
iter 008 | mean_ep_return -9045.9635 | steps 73728
iter 009 | mean_ep_return -7957.9653 | steps 81920
iter 010 | mean_ep_return -9599.7629 | steps 90112
iter 011 | mean_ep_return -7843.6004 | steps 98304
iter 012 | mean_ep_return -9261.4357 | steps 106496
iter 013 | mean_ep_return -8797.4325 | steps 114688
iter 014 | mean_ep_return -8066.9288 | steps 122880
iter 015 | mean_ep_return -6906.6716 | steps 131072
iter 016 | mean_ep_return -6460.4982 | steps 139264
iter 017 | mean_ep_return -6771.0924 | steps 147456
iter 018 | mean_ep_return -5455.8821 | steps 155648
iter 019 | mean_ep_return -5444.1117 | steps 163840
iter 020 | mean_ep_return -5522.9143 | steps 172032
iter 021 | mean_ep_return -4960.3382 | steps 180224
iter 022 | mean_ep_return -4245.9865 | steps 188416
iter 023 | mean_ep_return -3776.2165 | steps 196608
iter 024 | mean_ep_return -3721.6450 | steps 204800
iter 025 | mean_ep_return -3395.5896 | steps 212992
iter 026 | mean_ep_return -3146.9313 | steps 221184
iter 027 | mean_ep_return -2895.9841 | steps 229376
iter 028 | mean_ep_return -2759.6931 | steps 237568
iter 029 | mean_ep_return -2400.5168 | steps 245760
iter 030 | mean_ep_return -2235.1392 | steps 253952
iter 031 | mean_ep_return -2166.4137 | steps 262144
iter 032 | mean_ep_return -1889.4824 | steps 270336
iter 033 | mean_ep_return -1919.7660 | steps 278528
iter 034 | mean_ep_return -1745.1229 | steps 286720
iter 035 | mean_ep_return -1663.4444 | steps 294912
iter 036 | mean_ep_return -1644.8900 | steps 303104
iter 037 | mean_ep_return -1619.4738 | steps 311296
iter 038 | mean_ep_return -1520.1863 | steps 319488
iter 039 | mean_ep_return -1479.4076 | steps 327680
iter 040 | mean_ep_return -1466.9534 | steps 335872
iter 041 | mean_ep_return -1450.2440 | steps 344064
iter 042 | mean_ep_return -1390.2303 | steps 352256
iter 043 | mean_ep_return -1318.9822 | steps 360448
iter 044 | mean_ep_return -1352.0111 | steps 368640
iter 045 | mean_ep_return -1264.4046 | steps 376832
iter 046 | mean_ep_return -1310.9530 | steps 385024
iter 047 | mean_ep_return -1221.4885 | steps 393216
iter 048 | mean_ep_return -1237.8746 | steps 401408
iter 049 | mean_ep_return -1215.2635 | steps 409600
iter 050 | mean_ep_return -1210.4313 | steps 417792
iter 051 | mean_ep_return -1232.7523 | steps 425984
iter 052 | mean_ep_return -1178.1604 | steps 434176
iter 053 | mean_ep_return -1142.1598 | steps 442368
iter 054 | mean_ep_return -1160.9433 | steps 450560
iter 055 | mean_ep_return -1202.6940 | steps 458752
iter 056 | mean_ep_return -1117.4842 | steps 466944
iter 057 | mean_ep_return -1130.6004 | steps 475136
iter 058 | mean_ep_return -1133.2037 | steps 483328
iter 059 | mean_ep_return -1106.7105 | steps 491520
iter 060 | mean_ep_return -1117.6542 | steps 499712
iter 061 | mean_ep_return -1105.1070 | steps 507904
iter 062 | mean_ep_return -1049.2925 | steps 516096
iter 063 | mean_ep_return -1074.1271 | steps 524288
iter 064 | mean_ep_return -1040.5523 | steps 532480
iter 065 | mean_ep_return -1054.9135 | steps 540672
iter 066 | mean_ep_return -1022.7482 | steps 548864
iter 067 | mean_ep_return -1019.4444 | steps 557056
iter 068 | mean_ep_return -1022.6101 | steps 565248
iter 069 | mean_ep_return -983.2069 | steps 573440
iter 070 | mean_ep_return -986.2855 | steps 581632
iter 071 | mean_ep_return -979.2302 | steps 589824
iter 072 | mean_ep_return -987.8559 | steps 598016
iter 073 | mean_ep_return -964.3049 | steps 606208
iter 074 | mean_ep_return -988.0753 | steps 614400
iter 075 | mean_ep_return -935.8690 | steps 622592
iter 076 | mean_ep_return -991.0939 | steps 630784
iter 077 | mean_ep_return -966.3664 | steps 638976
iter 078 | mean_ep_return -941.4283 | steps 647168
iter 079 | mean_ep_return -948.8244 | steps 655360
iter 080 | mean_ep_return -919.0795 | steps 663552
iter 081 | mean_ep_return -916.6392 | steps 671744
iter 082 | mean_ep_return -932.9428 | steps 679936
iter 083 | mean_ep_return -885.2093 | steps 688128
iter 084 | mean_ep_return -889.1468 | steps 696320
iter 085 | mean_ep_return -874.2502 | steps 704512
iter 086 | mean_ep_return -890.8434 | steps 712704
iter 087 | mean_ep_return -865.1559 | steps 720896
iter 088 | mean_ep_return -859.1992 | steps 729088
iter 089 | mean_ep_return -851.3528 | steps 737280
iter 090 | mean_ep_return -857.3514 | steps 745472
iter 091 | mean_ep_return -831.4397 | steps 753664
iter 092 | mean_ep_return -830.7317 | steps 761856
iter 093 | mean_ep_return -838.6321 | steps 770048
iter 094 | mean_ep_return -836.1179 | steps 778240
iter 095 | mean_ep_return -816.7628 | steps 786432
iter 096 | mean_ep_return -817.2373 | steps 794624
iter 097 | mean_ep_return -812.0385 | steps 802816
iter 098 | mean_ep_return -774.2509 | steps 811008
iter 099 | mean_ep_return -791.6048 | steps 819200
TRAINING_BASELINE_DONE
